,Organism
174,Bacillus thermoproteolyticus
175,Bacillus thuringiensis
176,Bacillus velezensis
177,bacterium CSBL00001
178,Bacteroides eggerthii
179,Bacteroides fragilis
180,Bacteroides ovatus
181,Bacteroides sp.
182,Bacteroides thetaiotaomicron
183,Bacteroides uniformis
184,Bacteroides xylanisolvens
185,Bactrocera dorsalis
186,Bartonella henselae
187,Bdellovibrio bacteriovorus
188,Beta vulgaris
189,Bifidobacterium adolescentis
190,Bifidobacterium animalis
191,Bifidobacterium bifidum
192,Bifidobacterium dentium
193,Bifidobacterium longum
194,Bison bison
195,Bispora sp.
196,Bjerkandera adusta
197,Blastochloris viridis
198,Blastocystis sp.
199,Blattella germanica
200,Bombyx mori
201,Bordetella bronchiseptica
202,Bordetella parapertussis
203,Bordetella pertussis
204,Borreliella burgdorferi
205,Bos grunniens
206,Bos mutus
207,Bos taurus
208,Bothrops asper
209,Bothrops atrox
210,Bothrops jararaca
211,Bothrops jararacussu
212,Bothrops moojeni
213,Bothrops pauloensis
214,Bothrops pirajai
215,Bougainvillea spectabilis
216,Bovine rotavirus
217,Bovine viral
218,Bradyrhizobium diazoefficiens
219,Bradyrhizobium elkanii
220,Bradyrhizobium japonicum
221,Bradyrhizobium sp.
222,Branchiostoma belcheri
223,Branchiostoma floridae
224,Brassica juncea
225,Brassica napus
226,Brassica oleracea
227,Brassica rapa
228,Brevibacillus agri
229,Brevibacillus brevis
230,Brevibacillus thermoruber
231,Brevibacterium fuscum
232,Brevibacterium sterolicum
233,Brevicoryne brassicae
234,Brevundimonas diminuta
235,Brucella abortus
236,Brucella melitensis
237,Brucella suis
238,Brugia malayi
239,Bryonia dioica
240,Bryopsis corticulans
241,Bubalus bubalis
242,Bungarus caeruleus
243,Bungarus fasciatus
244,Bungarus multicinctus
245,Burkholderia ambifaria
246,Burkholderia cenocepacia
247,Burkholderia cepacia
248,Burkholderia glumae
249,Burkholderia lata
250,Burkholderia mallei
251,Burkholderia multivorans
252,Burkholderia pseudomallei
253,Burkholderia sp.
254,Burkholderia thailandensis
255,Burkholderia vietnamiensis
256,Butyrivibrio crossotus
257,Butyrivibrio proteoclasticus
258,Caenorhabditis elegans
259,Caenorhabditis remanei
260,Cajanus cajan
261,Caldalkalibacillus thermarum
262,Caldanaerobacter subterraneus
263,Caldicellulosiruptor bescii
264,Caldicellulosiruptor owensensis
265,Caldicellulosiruptor saccharolyticus
266,Calloselasma rhodostoma
267,Camellia sinensis
268,Camelus dromedarius
269,Campylobacter concisus
270,Campylobacter jejuni
271,Campylobacter lari
272,Canavalia ensiformis
273,Candida albicans
274,Candida dubliniensis
275,Candida parapsilosis
276,Candida tropicalis
277,Candidatus Cloacimonas
278,Candidatus Filomicrobium
279,Candidatus Jettenia
280,Candidatus Korarchaeum
281,Candidatus Kuenenia
282,Candidatus Liberibacter
283,Candidatus Micrarchaeum
284,Candidatus Pelagibacter
285,Canis lupus
286,Cannabis sativa
287,Capra hircus
288,Capsicum annuum
289,Carassius auratus
290,Carboxydothermus hydrogenoformans
291,Carica papaya
292,Castellaniella defragrans
293,Catharanthus roseus
294,Caulobacter sp.
295,Caulobacter vibrioides
296,Cavia porcellus
297,Cellulomonas fimi
298,Cellulomonas flavigena
299,Cellulomonas gilvus
300,Cellulomonas sp.
301,Cellulomonas uda
302,Cellulosimicrobium cellulans
303,Cellvibrio japonicus
304,Cellvibrio mixtus
305,Cenarchaeum symbiosum
306,Cenchrus americanus
307,Chaetoceros socialis
308,Chaetomium thermophilum
309,Chaetopterus variopedatus
310,Champsocephalus gunnari
311,Chelativorans sp.
312,Chelonia mydas
313,Chiba virus
314,Chikungunya virus
315,Chlamydia trachomatis
316,Chlamydomonas reinhardtii
317,Chlorella ohadii
318,Chlorella variabilis
319,Chlorobaculum tepidum
320,Chlorobium limicola
321,Chlorocebus aethiops
322,Chloroflexus aurantiacus
323,Chondrostereum purpureum
324,Chromobacterium sp.
325,Chromobacterium violaceum
326,Chromobacterium viscosum
327,Chromohalobacter salexigens
328,Chromohalobacter sp.
329,Chroococcidiopsis sp.
330,Chryseobacterium indologenes
331,Chryseobacterium proteolyticum
332,Cichorium intybus
333,Cinnamomum camphora
334,Citrobacter amalonaticus
335,Citrobacter braakii
336,Citrobacter freundii
337,Citrobacter intermedius
338,Citrullus lanatus
339,Citrus sinensis
340,Citrus x
341,Cladosporium herbarum
342,Clarkia breweri
343,Classical swine
344,Clavibacter michiganensis
345,Clavispora lusitaniae
346,Clitoria ternatea
347,Clonorchis sinensis
348,Clonostachys rosea
349,Clostridioides difficile
350,Clostridium acetobutylicum
351,Clostridium aminobutyricum
352,Clostridium autoethanogenum
353,Clostridium beijerinckii
354,Clostridium botulinum
355,Clostridium butyricum
356,Clostridium cellulovorans
357,Clostridium cochlearium
358,Clostridium kluyveri
359,Clostridium pasteurianum
360,Clostridium perfringens
361,Clostridium phage
362,Clostridium sardiniense
363,Clostridium scatologenes
364,Clostridium sporogenes
365,Clostridium subterminale
366,Clostridium tetani
367,Clostridium tetanomorphum
368,Clytia gregaria
369,Coccidioides immitis
370,Coccidioides posadasii
371,Coccomyxa sp.
372,Coffea canephora
373,Colinus virginianus
374,Colletotrichum gloeosporioides
375,Colletotrichum graminicola
376,Colletotrichum lindemuthianum
377,Colletotrichum lupini
378,Collinsella aerofaciens
379,Columba livia
380,Colwellia psychrerythraea
381,Comamonas testosteroni
382,Conticribra weissflogii
383,Coprinopsis cinerea
384,Coptis japonica
385,Corallina officinalis
386,Corallina pilulifera
387,Cordyceps militaris
388,Coriolopsis gallica
389,Coriolopsis trogii
390,Corynebacterium ammoniagenes
391,Corynebacterium callunae
392,Corynebacterium diphtheriae
393,Corynebacterium efficiens
394,Corynebacterium glutamicum
395,Corynebacterium sp.
396,Corynebacterium striatum
397,Corynephage beta
398,Coturnix japonica
399,Coxiella burnetii
400,Coxsackievirus A16
401,Coxsackievirus B3
402,Coxsackievirus B4
403,Crassostrea gigas
404,Cricetulus griseus
405,Crithidia fasciculata
406,Cronobacter sakazakii
407,Crotalus adamanteus
408,Crotalus atrox
409,Crotalus durissus
410,Cryphonectria parasitica
411,Cryptococcus neoformans
412,Cryptomeria japonica
413,Cryptopygus antarcticus
414,Cryptosporidium hominis
415,Cryptosporidium muris
416,Cryptosporidium parvum
417,Cucumis melo
418,Cucurbita moschata
419,Cucurbita pepo
420,Cupriavidus metallidurans
421,Cupriavidus necator
422,Cupriavidus pinatubonensis
423,Curcuma longa
424,Curvularia inaequalis
425,Curvularia lunata
426,Cutaneotrichosporon cutaneum
427,Cutaneotrichosporon moniliiforme
428,Cutibacterium acnes
429,Cyanidioschyzon merolae
430,Cyanidioschyzon sp.
431,Cyanidium caldarium
432,Cyanobacterium sp.
433,Cyberlindnera mrakii
434,Cyberlindnera saturnus
435,Cycas revoluta
436,Cyprinus carpio
437,Cytophaga hutchinsonii
438,Daboia russelii
439,Daboia siamensis
440,Danio rerio
441,Daphnia magna
442,Daphnia pulex
443,Datura stramonium
444,Daucus carota
445,Debaryomyces castellii
446,Debaryomyces nepalensis
447,Dechloromonas aromatica
448,Defluviitalea phaphyphila
449,Deinagkistrodon acutus
450,Deinococcus geothermalis
451,Deinococcus radiodurans
452,Delftia acidovorans
453,Delftia sp.
454,Dengue virus
455,Dermatophagoides farinae
456,Dermatophagoides pteronyssinus
457,Desmodus rotundus
458,Desulfarculus baarsii
459,Desulfitobacterium hafniense
460,Desulfococcus multivorans
461,Desulfomicrobium baculatum
462,Desulfomicrobium norvegicum
463,Desulfotalea psychrophila
464,Desulfovibrio alaskensis
465,Desulfovibrio desulfuricans
466,Desulfovibrio fructosivorans
467,Desulfovibrio gigas
468,Desulfovibrio vulgaris
469,Desulfurobacterium thermolithotrophum
470,Desulfurococcus sp.
471,Dianthus caryophyllus
472,Diaphorobacter sp.
473,Diaporthe amygdali
474,Dickeya chrysanthemi
475,Dickeya dadantii
476,Dictyoglomus thermophilum
477,Dictyostelium discoideum
478,Dictyostelium purpureum
479,Digitalis lanata
480,Diutina rugosa
481,Doryteuthis pealeii
482,Drosophila melanogaster
483,Dugesia japonica
484,Dunaliella salina
485,Echis carinatus
486,EDTA-degrading bacterium
487,Eggerthella lenta
488,Ehrlichia chaffeensis
489,Eimeria tenella
490,Eisenia fetida
491,Electrophorus electricus
492,Elephantulus edwardii
493,Elizabethkingia meningoseptica
494,Elizabethkingia miricola
495,Encephalitozoon cuniculi
496,Ensifer adhaerens
497,Entamoeba histolytica
498,Enterobacter asburiae
499,Enterobacter cloacae
500,Enterobacter sp.
501,Enterobacteria phage
502,Enterococcus casseliflavus
503,Enterococcus faecalis
504,Enterococcus faecium
505,Enterococcus hirae
506,Enterococcus mundtii
507,Enterovirus A71
508,Enterovirus D68
509,Equid alphaherpesvirus
510,Equisetum arvense
511,Equus asinus
512,Equus caballus
513,Eremothecium gossypii
514,Erwinia amylovora
515,Erwinia rhapontici
516,Erwinia tasmaniensis
517,Erythrobacter litoralis
518,Erythrobacter sp.
519,Escherichia coli
520,Escherichia phage
521,Escherichia sp.
522,Escherichia virus
523,Eschscholzia californica
524,Eubacterium barkeri
525,Exiguobacterium sibiricum
526,Exiguobacterium sp.
527,Faecalibacterium prausnitzii
528,Fasciola hepatica
529,Felis catus
530,Ferroplasma acidiphilum
531,Fervidobacterium islandicum
532,Fervidobacterium nodosum
533,Fibrobacter succinogenes
534,Ficus benghalensis
535,Ficus carica
536,Fischerella thermalis
537,Flaveria bidentis
538,Flaveria pringlei
539,Flaveria trinervia
540,Flavobacterium frigidimaris
541,Flavobacterium johnsoniae
542,Flavobacterium sp.
543,Fluoribacter gormanii
544,Foot-and-mouth disease
545,Fragaria vesca
546,Francisella tularensis
547,Fusarium fujikuroi
548,Fusarium graminearum
549,Fusarium oxysporum
550,Fusarium solani
551,Fusarium sp.
552,Fusarium sporotrichioides
553,Fusarium verticillioides
554,Fusobacterium nucleatum
555,Gadus morhua
556,Galdieria partita
557,Galdieria sulphuraria
558,Gallus gallus
559,Garcinia mangostana
560,Gardnerella vaginalis
561,Gemmabryum coronatum
562,Gemmata obscuriglobus
563,Gentiana triflora
564,Geobacillus kaustophilus
565,Geobacillus sp.
566,Geobacillus stearothermophilus
567,Geobacillus thermocatenulatus
568,Geobacillus thermodenitrificans
569,Geobacillus thermoleovorans
570,Geobacter metallireducens
571,Geobacter sulfurreducens
572,Geotrichum candidum
573,Geotrichum sp.
574,Giardia intestinalis
575,Glaciozyma antarctica
576,Globodera pallida
577,Gloeobacter violaceus
578,Gloydius halys
579,Gluconacetobacter diazotrophicus
580,Gluconobacter frateurii
581,Gluconobacter oxydans
582,Glutamicibacter protophormiae
583,Glycine max
584,Glycyrrhiza echinata
585,Gordonia bronchialis
586,Gossypium arboreum
587,Gossypium hirsutum
588,Gracilariopsis lemaneiformis
589,Granulibacter bethesdensis
590,Granulicella mallensis
591,Grifola frondosa
592,Gypsophila vaccaria
593,Haemonchus contortus
594,Haemophilus aegyptius
595,Haemophilus haemolyticus
596,Haemophilus influenzae
597,Haemophilus parahaemolyticus
598,Hafnia alvei
599,Hahella chejuensis
600,Haliangium ochraceum
601,Haliotis discus
602,Haloarcula marismortui
603,Haloarcula quadrata
604,Halobacterium salinarum
605,Haloferax mediterranei
606,Haloferax volcanii
607,Halomonas elongata
608,Halomonas sp.
609,Halorhodospira halophila
610,Halorubrum lacusprofundi
611,Halothermothrix orenii
612,Halothiobacillus neapolitanus
613,Hathewaya histolytica
614,Helianthus annuus
615,Helicobacter mustelae
616,Helicobacter pylori
617,Helicoverpa armigera
618,Helicoverpa zea
619,Hepacivirus C
620,Hepatitis C
621,Hepatovirus A
622,Hericium erinaceus
623,Heterocephalus glaber
624,Hevea brasiliensis
625,Histophilus somni
626,Homarus americanus
627,Homarus gammarus
628,Homo sapiens
629,Hordeum vulgare
630,Human adenovirus
631,Human alphaherpesvirus
632,Human betaherpesvirus
633,Human coronavirus
634,Human gammaherpesvirus
635,Human papillomavirus
636,Human poliovirus
637,Human respirovirus
638,Human rhinovirus
639,Humicola insolens
640,Humulus lupulus
641,Hydra vulgaris
642,Hydrogenimonas thermophila
643,Hydrogenobacter thermophilus
644,Hydrogenophaga pseudoflava
645,Hydrogenovibrio crunogenus
646,Hydrogenovibrio marinus
647,Hyoscyamus muticus
648,Hypericum androsaemum
649,Hyperthermus butylicus
650,Hyphomicrobium denitrificans
651,Hyphomicrobium methylovorum
652,Hyphomicrobium sulfonivorans
653,Hypoderma lineatum
654,Hypomyces rosellus
655,Ideonella sakaiensis
656,Idiomarina loihiensis
657,Idiomarina sp.
658,Ignisphaera aggregans
659,Infectious bursal
660,Ipomoea batatas
661,Iris x
662,Irpex lacteus
663,Ixodes scapularis
664,Janibacter sp.
665,Jannaschia sp.
666,Janthinobacterium sp.
667,Japanese encephalitis
668,Jeotgalibacillus marinus
669,Jonesia denitrificans
670,Kitasatospora aureofaciens
671,Kitasatospora setae
672,Klebsiella aerogenes
673,Klebsiella oxytoca
674,Klebsiella pneumoniae
675,Klebsiella sp.
676,Kluyvera cryocrescens
677,Kluyveromyces lactis
678,Kluyveromyces marxianus
679,Kokobera virus
680,Komagataeibacter europaeus
681,Komagataeibacter xylinus
682,Komagataella pastoris
683,Komagataella phaffii
684,Kribbella flavida
685,Kunjin virus
686,Labrenzia aggregata
687,Lachancea kluyveri
688,Lachnoclostridium phytofermentans
689,Lactobacillus acidophilus
690,Lactobacillus delbrueckii
691,Lactobacillus gasseri
692,Lactobacillus helveticus
693,Lactobacillus johnsonii
694,Lactobacillus leichmannii
695,Lactobacillus sp.
696,Lactococcus lactis
697,Lama glama
698,Lampyris turkestanicus
699,Langat virus
700,Larimichthys crocea
701,Laternula elliptica
702,Legionella longbeachae
703,Legionella pneumophila
704,Leishmania amazonensis
705,Leishmania braziliensis
706,Leishmania donovani
707,Leishmania infantum
708,Leishmania major
709,Leishmania mexicana
710,Leishmania naiffi
711,Leishmania sp.
712,Leishmania tarentolae
713,Lentinus tigrinus
714,Leptospira biflexa
715,Leptospira interrogans
716,Leptotrichia buccalis
717,Leptoxyphium fumago
718,Leptuca pugilator
719,Lethocerus indicus
720,Leucoagaricus meleagris
721,Leuconostoc citreum
722,Leuconostoc mesenteroides
723,Limnoria quadripunctata
724,Limulus polyphemus
725,Lingulodinium polyedra
726,Linum usitatissimum
727,Listeria innocua
728,Listeria ivanovii
729,Listeria monocytogenes
730,Loligo vulgaris
731,Lolium perenne
732,Lolium rigidum
733,Luciola cruciata
734,Luffa acutangula
735,Luffa aegyptiaca
736,Lupinus angustifolius
737,Lupinus luteus
738,Lyngbya majuscula
739,Lysinibacillus sphaericus
740,Lysobacter enzymogenes
741,Macaca fascicularis
742,Macaca mulatta
743,Macrobdella decora
744,Magnetospirillum sp.
745,Malassezia sympodialis
746,Malbranchea cinnamomea
747,Malus domestica
748,Mammalian orthoreovirus
749,Manduca sexta
750,Mangifera indica
751,Manihot esculenta
752,Marasmius rotula
753,Marchantia polymorpha
754,Maricaulis maris
755,Marichromatium gracile
756,Marinithermus hydrothermalis
757,Marinobacter sp.
758,Marinomonas mediterranea
759,Mason-Pfizer monkey
760,Meaban virus
761,Measles morbillivirus
762,Medicago sativa
763,Medicago truncatula
764,Megasphaera elsdenii
765,Meiothermus ruber
766,Meiothermus taiwanensis
767,Melanocarpus albomyces
768,Meleagris gallopavo
769,Mengo virus
770,Mentha x
771,Meretrix lusoria
772,Mesembryanthemum crystallinum
773,Mesoplasma florum
774,Mesorhizobium japonicum
775,Mesorhizobium loti
776,Mesorhizobium sp.
777,Metallosphaera sedula
778,Metarhizium anisopliae
779,Methanobrevibacter ruminantium
780,Methanobrevibacter smithii
781,Methanocaldococcus jannaschii
782,Methanococcoides burtonii
783,Methanococcus aeolicus
784,Methanococcus maripaludis
785,Methanococcus voltae
786,Methanohalophilus portucalensis
787,Methanopyrus kandleri
788,Methanosarcina acetivorans
789,Methanosarcina barkeri
790,Methanosarcina mazei
791,Methanosarcina thermophila
792,Methanospirillum hungatei
793,Methanothermobacter marburgensis
794,Methanothermobacter thermautotrophicus
795,Methanothermobacter wolfeii
796,Methanothermococcus thermolithotrophicus
797,Methanothermus fervidus
798,Methanothrix soehngenii
799,Methanotorris igneus
800,Methylobacillus flagellatus
801,Methylobacterium sp.
802,Methylococcus capsulatus
803,Methylophaga aminisulfidivorans
804,Methylophilus methylotrophus
805,Methylorubrum extorquens
806,Methylosinus trichosporium
807,Microbacterium saccharophilum
808,Microbacterium sp.
809,Microbulbifer thermotolerans
810,Micrococcus luteus
811,Microcystis aeruginosa
812,Microdochium nivale
813,Micromonospora aurantiaca
814,Micromonospora griseorubida
815,Micromonospora viridifaciens
816,Micromonospora zionensis
817,Micropechis ikaheca
818,Mitsuokella multacida
819,Moesziomyces antarcticus
820,Moloney murine
821,Momordica balsamina
822,Momordica charantia
823,Monascus pilosus
824,Moniliophthora perniciosa
825,Monodelphis domestica
826,Moorea producens
827,Moorella thermoacetica
828,Moraxella bovis
829,Moraxella catarrhalis
830,Moraxella sp.
831,Morganella morganii
832,Moritella marina
833,Moritella profunda
834,Mucor circinelloides
835,Murine coronavirus
836,Murine hepatitis
837,Murine norovirus
838,Murray Valley
839,Mus musculus
840,Musa acuminata
841,Musca domestica
842,Mycobacterium avium
843,Mycobacterium gastri
844,Mycobacterium intracellulare
845,Mycobacterium kansasii
846,Mycobacterium leprae
847,Mycobacterium marinum
848,Mycobacterium tuberculosis
849,Mycobacterium ulcerans
850,Mycobacteroides abscessus
851,Mycolicibacterium fortuitum
852,Mycolicibacterium hassiacum
853,Mycolicibacterium rhodesiae
854,Mycolicibacterium smegmatis
855,Mycolicibacterium thermoresistibile
856,Mycoplana ramosa
857,Mycoplasma capricolum
858,Mycoplasma genitalium
859,Mycoplasma hyopneumoniae
860,Mycoplasma mobile
861,Mycoplasma mycoides
862,Mycoplasma penetrans
863,Mycoplasma pneumoniae
864,Mycothermus thermophilus
865,Mytilus edulis
866,Myxococcus xanthus
867,Naegleria fowleri
868,Naegleria gruberi
869,Naganishia liquefaciens
870,Naja atra
871,Naja naja
872,Naja sagittifera
873,Namalycastis sp.
874,Nannospalax galili
875,Nanoarchaeum equitans
876,Nasutitermes takasagoensis
877,Natrialba magadii
878,Neisseria gonorrhoeae
879,Neisseria lactamica
880,Neisseria meningitidis
881,Neisseria polysaccharea
882,Nematostella vectensis
883,Neocallimastix patriciarum
884,Neospora caninum
885,Neotermes koshunensis
886,Nepeta racemosa
887,Nesterenkonia sp.
888,Neurospora crassa
889,Neurospora sitophila
890,Nicotiana alata
891,Nicotiana benthamiana
892,Nicotiana glutinosa
893,Nicotiana plumbaginifolia
894,Nicotiana tabacum
895,Nipah henipavirus
896,Nitratiruptor sp.
897,Nitrobacter winogradskyi
898,Nitrosomonas europaea
899,Nitrosopumilus maritimus
900,Nitrosospira multiformis
901,Nitrospira defluvii
902,Niveispirillum irakense
903,Nocardia farcinica
904,Nocardia iowensis
905,Nocardiopsis sp.
906,Nodamura virus
907,Nonlabens dokdonensis
908,Nonomuraea gerenzanensis
909,Norwalk virus
910,Nostoc punctiforme
911,Nostoc sp.
912,Notothenia coriiceps
913,Nototodarus sloanii
914,Novosphingobium aromaticivorans
915,Novosphingobium capsulatum
916,Obelia longissima
917,Oceanicola granulosus
918,Oceanobacillus iheyensis
919,Ochrobactrum sp.
920,Ocimum basilicum
921,Oenococcus oeni
922,Ogataea angusta
923,Ogataea polymorpha
924,Oldenlandia affinis
925,Olea europaea
926,Onchocerca volvulus
927,Oncorhynchus keta
928,Oncorhynchus mykiss
929,Ophiophagus hannah
930,Opisthorchis viverrini
931,Oplophorus gracilirostris
932,Oryctolagus cuniculus
933,Oryza sativa
934,Oryzias latipes
935,Oscillatoria acuminata
936,Oscillatoria sp.
937,Ostreococcus tauri
938,Ostrinia furnacalis
939,Ovis aries
940,Oxalobacter formigenes
941,Oxyuranus scutellatus
942,Paecilomyces sp.
943,Paenarthrobacter aurescens
944,Paenarthrobacter nicotinovorans
945,Paenarthrobacter nitroguajacolicus
946,Paenarthrobacter ureafaciens
947,Paenibacillus alvei
948,Paenibacillus barcinonensis
949,Paenibacillus barengoltzii
950,Paenibacillus larvae
951,Paenibacillus lautus
952,Paenibacillus macerans
953,Paenibacillus pabuli
954,Paenibacillus polymyxa
955,Paenibacillus sp.
956,Paenibacillus thiaminolyticus
957,Pagrus major
958,Pan troglodytes
959,Pandalus borealis
960,Pandoraea pnomenusa
961,Panicum virgatum
962,Pantoea agglomerans
963,Pantoea ananatis
964,Pantoea stewartii
965,Panulirus versicolor
966,Papaver somniferum
967,Parabacteroides distasonis
968,Paraburkholderia graminis
969,Paraburkholderia phymatum
970,Paraburkholderia phytofirmans
971,Paraburkholderia xenovorans
972,Paracoccus denitrificans
973,Paracoccus pantotrophus
974,Paracoccus sp.
975,Paracoccus versutus
976,Parageobacillus thermoglucosidasius
977,Paramecium bursaria
978,Paramecium tetraurelia
979,Parengyodontium album
980,Parthenium argentatum
981,Pasteurella multocida
982,Paucimonas lemoignei
983,Pecten maximus
984,Pectobacterium atrosepticum
985,Pectobacterium carotovorum
986,Pediococcus acidilactici
987,Pedobacter heparinus
988,Pelodiscus sinensis
989,Pelomonas saccharophila
990,Pelophylax perezi
991,Penaeus japonicus
992,Penaeus vannamei
993,Penicillium amagasakiense
994,Penicillium canescens
995,Penicillium chrysogenum
996,Penicillium citrinum
997,Penicillium cyclopium
998,Penicillium expansum
999,Penicillium janthinellum
1000,Penicillium oxalicum
1001,Penicillium roqueforti
1002,Penicillium simplicissimum
1003,Penicillium sp.
1004,Peniophora sp.
1005,Peptoniphilus asaccharolyticus
1006,Perinereis brevicirris
1007,Perkinsus marinus
1008,Persephonella marina
1009,Persicaria hydropiper
1010,Petroselinum crispum
1011,Petrotoga mobilis
1012,Petunia x
1013,Peucedanum praeruptorum
1014,Phaeodactylum tricornutum
1015,Phaffia rhodozyma
1016,Phanerochaete chrysosporium
1017,Phaseolus vulgaris
1018,Phasianus colchicus
1019,Phormidium lapideum
1020,Photinus pyralis
1021,Photobacterium damselae
1022,Photobacterium leiognathi
1023,Photobacterium phosphoreum
1024,Photobacterium profundum
1025,Photobacterium sp.
1026,Photorhabdus asymbiotica
1027,Photorhabdus luminescens
1028,Physarum polycephalum
1029,Physeter catodon
1030,Phytolacca americana
1031,Phytolacca dioica
1032,Phytophthora capsici
1033,Phytophthora sojae
1034,Picea abies
1035,Picrophilus torridus
1036,Pimelobacter simplex
1037,Pinus sylvestris
1038,Piromyces sp.
1039,Pisum sativum
1040,Planctopirus limnophila
1041,Planomicrobium okeanokoites
1042,Plantago major
1043,Plasmodium berghei
1044,Plasmodium falciparum
1045,Plasmodium knowlesi
1046,Plasmodium vivax
1047,Plasmodium yoelii
1048,Plectranthus scutellarioides
1049,Plesiocystis pacifica
1050,Plesiomonas shigelloides
1051,Pleurotus eryngii
1052,Pleurotus ostreatus
1053,Plexaura homomalla
1054,Pneumocystis carinii
1055,Pneumocystis jirovecii
1056,Podophyllum peltatum
1057,Podospora anserina
1058,Poecilia reticulata
1059,Polaromonas sp.
1060,Populus tomentosa
1061,Populus tremula
