,Organism
104,Acidiphilium cryptum
105,Acidiphilium multivorum
106,Acidiphilium organovorum
107,Acidipropionibacterium acidipropionici
108,Acidithiobacillus caldus
109,Acidithiobacillus ferrooxidans
110,Acidithiobacillus sp.
111,Acidithiobacillus thiooxidans
112,Acidivorax sp.
113,Acidobacterium aerogenes
114,Acidobacterium capsulatum
115,Acidomonas methanolica
116,Acidomyces acidophilus
117,Acidothermus cellulolyticus
118,Acidovorax avenae
119,Acidovorax citrulli
120,Acidovorax facilis
121,Acidovorax sp.
122,Aciduliprofundum boonei
123,Acinetobacter baumannii
124,Acinetobacter baylyi
125,Acinetobacter bereziniae
126,Acinetobacter calcoaceticus
127,Acinetobacter genospecies
128,Acinetobacter glutaminasificans
129,Acinetobacter haemolyticus
130,Acinetobacter johnsonii
131,Acinetobacter junii
132,Acinetobacter lwoffii
133,Acinetobacter phage
134,Acinetobacter pittii
135,Acinetobacter radioresistens
136,Acinetobacter sp.
137,Acinetobacter tartarogenes
138,Acinetobacter thermotoleranticus
139,Acinetobacter venetianus
140,Acipenser baerii
141,Acipenser fulvescens
142,Acipenser gueldenstaedtii
143,Acipenser persicus
144,Acipenser ruthenus
145,Acipenser sp.
146,Acipenser stellatus
147,Acipenser transmontanus
148,Acletoxenus formosus
149,Acmella radicans
150,Acomys cahirinus
151,Acorus calamus
152,Acremonium blochii
153,Acremonium chrysogenum
154,Acremonium persicinum
155,Acremonium sp.
156,Acremonium thermophilum
157,Acrocylindrium sp.
158,Acrophialophora nainiana
159,Acropora digitifera
160,Acropora formosa
161,Acropora millepora
162,Acrostalagmus luteoalbus
163,Actinia equina
164,Actinidia arguta
165,Actinidia chinensis
166,Actinidia deliciosa
167,Actinidia eriantha
168,Actinidia hemsleyana
169,Actinidia polygama
170,Actinidia rufa
171,Actinidia setosa
172,Actinobacillus pleuropneumoniae
173,Actinobacillus sp.
174,Actinobacillus succinogenes
175,Actinocoryne sp.
176,Actinomadura citrea
177,Actinomadura fulvescens
178,Actinomadura keratinilytica
179,Actinomadura kijaniata
180,Actinomadura luteofluorescens
181,Actinomadura sp.
182,Actinomadura verrucosospora
183,Actinomyces israelii
184,Actinomyces naeslundii
185,Actinomyces olivocinereus
186,Actinomyces oris
187,Actinomyces sp.
188,Actinomyces viscosus
189,Actinonaias ligamentina
190,Actinoplanes auranticolor
191,Actinoplanes campanulatus
192,Actinoplanes digitatis
193,Actinoplanes friuliensis
194,Actinoplanes missouriensis
195,Actinoplanes philippinensis
196,Actinoplanes sp.
197,Actinoplanes teichomyceticus
198,Actinoplanes utahensis
199,Actinopolyspora erythraea
200,Actinopolyspora halophila
201,Actinosynnema mirum
202,Actinosynnema pretiosum
203,Acyrthosiphon pisum
204,Acytostelium subglobosum
205,Adenia digitata
206,Adenia stenodactyla
207,Adenia volkensii
208,Adeno-associated virus
209,Adiantum capillus-veneri
210,Adiantum capillus-veneris
211,Adineta vaga
212,Adlercreutzia equolifaciens
213,Adonis aestivalis
214,Advenella kashmirensis
215,Advenella mimigardefordensis
216,Aedes aegypti
217,Aedes albopictus
218,Aedes taeniorhynchus
219,Aedes togoi
220,Aegilops crassa
221,Aegilops cylindrica
222,Aegilops longissima
223,Aegilops searsii
224,Aegilops speltoides
225,Aegilops tauschii
226,Aegilops ventricosa
227,Aeluropus lagopoides
228,Aequipecten sp.
229,Aequorea aequorea
230,Aequorea victoria
231,Aeribacillus pallidus
232,Aerobacter indologenes
233,Aerobacter levanicum
234,Aerobacter sp.
235,aerobic bacterium
236,Aerobic soil
237,Aerococcus sp.
238,Aerococcus viridans
239,Aeromicrobium marinum
240,Aeromonas caviae
241,Aeromonas enteropelogenes
242,Aeromonas hydrophila
243,Aeromonas jandaei
244,Aeromonas media
245,Aeromonas phenologenes
246,Aeromonas salmonicida
247,Aeromonas schubertii
248,Aeromonas sobria
249,Aeromonas sp.
250,Aeromonas veronii
251,Aeromonas virus
252,Aeropyrum camini
253,Aeropyrum pernix
254,Aesculus hippocastanum
255,Aeshna cyanea
256,Afipia felis
257,African swine
258,Agama agama
259,Agama stellio
260,Agaricales sp.
261,Agaricus bisporus
262,Agaricus blazei
263,Agaricus brasiliensis
264,Agaricus campestris
265,Agaricus edulis
266,Agaricus hortensis
267,Agaricus pattersoniae
268,Agaricus perrarus
269,Agaricus sp.
270,Agaricus xanthodermus
271,Agarivorans albus
272,Agarivorans sp.
273,Agastache rugosa
274,Agave americana
275,Agave inaequidens
276,Agave sisalana
277,Agave tequilana
278,Agave toumeyana
279,Agave vera
280,Agave victoriae-reginae
281,Agelenopsis aperta
282,Aggregatibacter actinomycetemcomitans
283,Agkistrodon bilineatus
284,Agkistrodon contortrix
285,Agkistrodon piscivorus
286,Aglais urticae
287,Agriophyllum squarrosum
288,Agrius convolvuli
289,Agrobacterium albertimagni
290,Agrobacterium aurantiacum
291,Agrobacterium fabrum
292,Agrobacterium rhizogenes
293,Agrobacterium rubi
294,Agrobacterium sp.
295,Agrobacterium tumefaciens
296,Agrobacterium vitis
297,Agrocybe aegerita
298,Agrocybe dura
299,Agrocybe pediades
300,Agrocybe praecox
301,Agrocybe sp.
302,Agromyces fucosus
303,Agromyces mediolanus
304,Agromyces sp.
305,Agropyron cristatum
306,Agropyron sp.
307,Agrostemma githago
308,Agrostis capillaris
309,Agrostis scabra
310,Agrostis stolonifera
311,Agrotis exclamationis
312,Agrotis ipsilon
313,Agrotis segetum
314,Agrypnus binodulus
315,Ahrensia sp.
316,Ailanthus altissima
317,Aiptasia sp.
318,Aix sponsa
319,Ajuga reptans
320,Alangium lamarckii
321,Alatospora acuminata
322,Alatospora flagellata
323,Albatrellus dispansus
324,Albatrossia pectoralis
325,Albibacter helveticus
326,Albibacter methylovorans
327,Albifimbria verrucaria
328,Albizia julibrissin
329,Alburnus tarichi
330,Alca torda
331,Alcaligenes eutrophus
332,Alcaligenes faecalis
333,Alcaligenes metalcaligenes
334,Alcaligenes sp.
335,Alcaligenes ssp.
336,Alcaligenes viscolactis
337,Alcanivorax borkumensis
338,Alcanivorax dieselolei
339,Alcanivorax sp.
340,Alces alces
341,Aldrichina grahami
342,Alectoris rufa
343,Aleuroglyphus ovatus
344,Alexandrium catenella
345,Alexandrium minutum
346,Alexandrium ssp.
347,Alginovibrio aquatilis
348,Alicycliphilus denitrificans
349,Alicycliphilus sp.
350,Alicyclobacillus acidocaldarius
351,Alicyclobacillus hesperidum
352,Alicyclobacillus sp.
353,Alicyclobacillus tengchongensis
354,Alicyclobacillus vulcanalis
355,Aliivibrio fischeri
356,Aliivibrio salmonicida
357,Alishewanella fetalis
358,Alisma plantago-aquatica
359,Alitta succinea
360,Alitta virens
361,Alkalilactibacillus ikkensis
362,Alkalilimnicola ehrlichii
363,Alkalimonas amylolytica
364,Alkalimonas collagenimarina
365,Alkaliphilus metalliredigens
366,Alkaliphilus oremlandii
367,Alkhumra hemorrhagic
368,Alligator mississippiensis
369,Allium altyncolicum
370,Allium ampeloprasum
371,Allium cepa
372,Allium fistulosum
373,Allium giganteum
374,Allium hymenorrhizum
375,Allium jesdianum
376,Allium obliquum
377,Allium sativum
378,Allium saxatile
379,Allium schoenoprasum
380,Allium sp.
381,Allium sphaerocephalon
382,Allium stipitatum
383,Allium subhirsutum
384,Allium tripedale
385,Allium tuberosum
386,Allium ursinum
387,Allium victorialis
388,Allochromatium vinosum
389,Allokutzneria albata
390,Allolobophora chlorotica
391,Allomyces arbusculus
392,Allomyces sp.
393,Alloscardovia venturai
394,Alluaudia procera
395,Alnus glutinosa
396,Alnus maritima
397,Alnus rubra
398,Aloe arborescens
399,Aloe sp.
400,Aloe vera
401,Alonsoa meridionalis
402,Alopecurus aequalis
403,Alopecurus myosuroides
404,Alopias vulpinus
405,Alopochen aegyptiaca
406,Alosa pseudoharengus
407,Alouatta caraya
408,alpha proteobacterium
409,alpine bacterium
410,Alstroemeria caryophyllaea
411,Alternanthera ficoidea
412,Alternanthera ficoides
413,Alternanthera pungens
414,Alternanthera sessilis
415,Alternaria alternata
416,Alternaria bataticola
417,Alternaria brassicicola
418,Alternaria consortialis
419,Alternaria humicola
420,Alternaria infectoria
421,Alternaria longipes
422,Alternaria mali
423,Alternaria solani
424,Alternaria sp.
425,Alternaria tenuissima
426,Alteromonas agarilytica
427,Alteromonas fortis
428,Alteromonas macleodii
429,Alteromonas naphthalenivorans
430,Alteromonas sp.
431,Alvikia littoralis
432,Alvinella pompejana
433,Alviniconcha hessleri
434,Alyssum montanum
435,Amanita bisporigera
436,Amanita muscaria
437,Amanita phalloides
438,Amaranthus blitoides
439,Amaranthus blitum
440,Amaranthus caudatus
441,Amaranthus dubius
442,Amaranthus edulis
443,Amaranthus hybridus
444,Amaranthus hypochondriacus
445,Amaranthus palmeri
446,Amaranthus paniculatus
447,Amaranthus retroflexus
448,Amaranthus sp.
449,Amaranthus spinosus
450,Amaranthus tricolor
451,Amaranthus tuberculatus
452,Amaranthus viridis
453,Amblema plicata
454,Amblyomma hebraeum
455,Amblyomma maculatum
456,Amblyomma variegatum
457,Amblyrhynchus cristatus
458,Amblysomus hottentotus
459,Amborella trichopoda
460,Ambrosiozyma monospora
461,Ambystoma mexicanum
462,Ambystoma tigrinum
463,Ameiurus nebulosus
464,Amerila phaedra
465,Amesia atrobrunnea
466,Amia calva
467,Aminobacter aminovorans
468,Aminobacter ciceronei
469,Aminobacter sp.
470,Amiota albilabris
471,Amiota alboguttata
472,Amiota basdeni
473,Ammi majus
474,Ammocharis longifolia
475,Ammopiptanthus nanus
476,Amoeba proteus
477,Amorphochlora amoebiformis
478,Amorphophallus konjac
479,Amorphophallus paeoniifolius
480,Amorphotheca resinae
481,Ampelopsis glandulosa
482,Amphibacillus xylanus
483,Amphibalanus amphitrite
484,Amphicarpaea bracteata
485,Amphidinium carterae
486,Amphimedon queenslandica
487,Amphioctopus fangsiao
488,Amphiprion clarkii
489,Amphiprora kufferathii
490,Amphitrite ornata
491,Amphitrite sp.
492,Amphiuma means
493,Ampullaria crossean
494,Amsacta moorei
495,Amsonia orientalis
496,Amsonia salicifolia
497,Amsonia tabernaemontana
498,Amycolatopsis alba
499,Amycolatopsis lactamdurans
500,Amycolatopsis mediterranei
501,Amycolatopsis methanolica
502,Amycolatopsis orientalis
503,Amycolatopsis sp.
504,Amyda cartilaginea
505,Amyelois transitella
506,Amyema cambagei
507,Amyema miquelii
508,Amyema pendulum
509,Amygdalus pedunculata
510,Amylomyces rouxii
511,Amylostereum areolatum
512,Anabaena azotica
513,Anabaena cylindrica
514,Anabaena oryzae
515,Anabaena sp.
516,Anabaena subcylindrica
517,Anabasis aphylla
518,Anacardium occidentale
519,Anacystis marina
520,Anacystis sp.
521,Anadara inflata
522,Anadara ovalis
523,Anaerobacillus arseniciselenatis
524,Anaerobic bacteria
525,Anaerobic bacterium
526,anaerobic thermophilic
527,Anaerobiospirillum succiniciproducens
528,Anaerobiospirillum succiniproducens
529,Anaerobium acetethylicum
530,Anaerobranca gottschalkii
531,Anaerocolumna aminovalerica
532,Anaeromyces mucronatus
533,Anaeromyxobacter dehalogenans
534,Anaeromyxobacter sp.
535,Anaeroplasma intermedium
536,Anaerostipes caccae
537,Anaerostipes hadrus
538,Anaerotignum neopropionicum
539,Anaerotignum propionicum
540,Ananas comosus
541,Anaplasma marginale
542,Anaplasma phagocytophilum
543,Anas platyrhynchos
544,Anas sp.
545,Anastrepha fraterculus
546,Anastrepha obliqua
547,Anchusa italica
548,Anchusa officinalis
549,Ancylobacter aquaticus
550,Ancylobacter oerskovii
551,Ancylobacter polymorphus
552,Ancylostoma caninum
553,Ancylostoma ceylanicum
554,Andrographis paniculata
555,Anemone flaccida
556,Anemone leveillei
557,Anethum graveolens
558,Aneurinibacillus aneurinilyticus
559,Aneurinibacillus sp.
560,Aneurinibacillus thermoaerophilus
561,Angelica dahurica
562,Angelica gigas
563,Angelica sinensis
564,Angiostrongylus cantonensis
565,Angomonas deanei
566,Anguilla anguilla
567,Anguilla japonica
568,Anguilla rostrata
569,Anguillospora crassa
570,Anguillospora longissima
571,Anigozanthos manglesii
572,Anisakis simplex
573,Anisodus acutangulus
574,Anisodus luridus
575,Anisodus tanguticus
576,Ankistrodesmus braunii
577,Annona cherimola
578,Annona emarginata
579,Annona glabra
580,Annona macroprophyllata
581,Annona muricata
582,Annona squamosa
583,Anolis carolinensis
584,Anopheles albimanus
585,Anopheles annularis
586,Anopheles aquasalis
587,Anopheles arabiensis
588,Anopheles culicifacies
589,Anopheles dirus
590,Anopheles gambiae
591,Anopheles minimus
592,Anopheles quadrimaculatus
593,Anopheles sinensis
594,Anopheles stephensi
595,Anoxybacillus amylolyticus
596,Anoxybacillus flavithermus
597,Anoxybacillus gonensis
598,Anoxybacillus kestanbolensis
599,Anoxybacillus sp.
600,Anoxybacillus tepidamans
601,Anser anser
602,Anser cygnoides
603,Anser domesticus
604,Anser sp.
605,antarctic bacterium
606,Antarctic fish
607,Antheraea assamensis
608,Antheraea eucalypti
609,Antheraea mylitta
610,Antheraea pernyi
611,Antheraea polyphemus
612,Anthoceros agrestis
613,Anthocharis cardamines
614,Anthonomus grandis
615,Anthopleura japonica
616,Anthopleura nigrescens
617,Anthoxanthum occidentale
618,Anthracobia melaloma
619,Anthriscus sylvestris
620,Anthurium andraeanum
621,Anthurium upalaense
622,Anthurium willdenowii
623,Anticarsia gemmatalis
624,Antillogorgia elisabethae
625,Antirrhinum kelloggii
626,Antirrhinum majus
627,Antonospora locustae
628,Aotus trivirgatus
629,Apantesis nevadensis
630,Aphanizomenon flos-aquae
631,Aphanizomenon gracile
632,Aphanocapsa alpicola
633,Aphanomyces astaci
634,Aphanomyces invadans
635,Aphanothece halophytica
636,Aphidius ervi
637,Aphis fabae
638,Aphis gossypii
639,Aphonopelma californicum
640,Aphrocallistes beatrix
641,Aphrocallistes vastus
642,Aphrodita aculeata
643,Apis cerana
644,Apis florea
645,Apis mellifera
646,Apium graveolens
647,Apium sp.
648,Aplysia californica
649,Aplysia depilans
650,Aplysia fasciata
651,Aplysia kurodai
652,Aplysia limacina
653,Aplysia punctata
654,Aplysia sp.
655,Aplysina cavernicola
656,Apocynum venetum
657,Apodachlya sp.
658,Apodemus sylvaticus
659,Apogon ellioti
660,Aporia crataegi
661,Aporrectodea caliginosa
662,Aporrectodea nocturna
663,Aporrectodea rosea
664,Apostichopus japonicus
665,Apriona germari
666,Aquamicrobium defluvii
667,Aquanectria penicillioides
668,Aquanectria submersa
669,Aquatica lateralis
670,Aquifex aeolicus
671,Aquifex pyrophilus
672,Aquifex sp.
673,Aquilaria crassna
674,Aquilaria sinensis
675,Aquilegia vulgaris
676,Aquincola tertiaricarbonis
677,Aquisalibacillus elongatus
678,Arabella iricolor
679,Arabidopsis halleri
680,Arabidopsis lyrata
681,Arabidopsis sp.
682,Arabidopsis thaliana
683,Arabis alpina
684,Arabis hirsuta
685,Arabis soyeri
686,Arachis duranensis
687,Arachis hypogaea
688,Arachis ipaensis
689,Arachniotus citrinus
690,Arachniotus sp.
691,Arachnis hookeriana
692,Aralia cordata
693,Aralia elata
694,Aranda Christine
695,Arapaima gigas
696,Aratus pisonii
697,Araucaria angustifolia
698,Arbacia punctulata
699,Arcanobacterium haemolyticum
700,Arceuthobium divaricatum
701,Arceuthobium oxycedri
702,Archaeoglobus fulgidus
703,Archaeoglobus lithotrophicus
704,Archaeoglobus profundus
705,Archaeoglobus sp.
706,Architeuthis sp.
707,Arcobacter butzleri
708,Arcobacter sp.
709,Arcopilus cupreus
710,Arctagrostis latifolia
711,Arctia caja
712,Arctia intercalaris
713,Arctica islandica
714,Arctium lappa
715,Arctocephalus pusillus
716,Arctocephalus tropicalis
717,Arctogadus glacialis
718,Arenaeus cribrarius
719,Arenibacter latericius
720,Arenibacter palladensis
721,Arenibacter sp.
722,Arenicola brasiliensis
723,Arenicola marina
724,Arenimonas malthae
725,Argemone mexicana
726,Argemone platyceras
727,Argiope aurantia
728,Argopecten irradians
729,Argyrolobium roseum
730,Argyrotaenia velutinana
731,Arion ater
732,Arion lusitanicus
733,Ariopsis seemanni
734,Arizona sp.
735,Armadillidium pulchellum
736,Armadillo officinalis
737,Armases cinereum
738,Armigeres subalbatus
739,Armillaria gallica
740,Armillaria mellea
741,Armillaria ostoyae
742,Armoracia rusticana
743,Armoracia sp.
744,Arnebia euchroma
745,Aromatoleum aromaticum
746,Aronia arbutifolia
747,Arquibacter sp.
748,arsenite-oxidising alpha
749,arsenite-oxidising bacterium
750,arsenite-oxidising beta
751,Artemia franciscana
752,Artemia nauplii
753,Artemia parthenogenetica
754,Artemia salina
755,Artemia sinica
756,Artemia sp.
757,Artemisia absinthium
758,Artemisia afra
759,Artemisia annua
760,Artemisia kurramensis
761,Artemisia myriantha
762,Artemisia spiciformis
763,Artemisia tridentata
764,Artemisia vestita
765,Artemisia vulgaris
766,Arthrinium sp.
767,Arthrobacter allantoicus
768,Arthrobacter alpinus
769,Arthrobacter citreus
770,Arthrobacter crystallopoietes
771,Arthrobacter dextranolyticus
772,Arthrobacter globiformis
773,Arthrobacter keyseri
774,Arthrobacter koreensis
775,Arthrobacter luteolus
776,Arthrobacter methylotrophus
777,Arthrobacter mobilis
778,Arthrobacter nucleogenes
779,Arthrobacter pascens
780,Arthrobacter psychrolactophilus
781,Arthrobacter pyridinolis
782,Arthrobacter sialophilus
783,Arthrobacter sp.
784,Arthrobacter synephrinum
785,Arthrobotrys amerospora
786,Arthrobotrys musiformis
787,Arthrobotrys oligospora
788,Arthrobotrys yunnanensis
789,Arthrospira fusiformis
790,Arthrospira maxima
791,Arthrospira platensis
792,Arthrospira sp.
793,Articulospora tetracladia
794,Artocarpus altilis
795,Arum italicum
796,Arum maculatum
797,Arundinaria sp.
798,Arundo donax
799,Arvicanthis niloticus
800,Asaccharospora irregularis
801,Asanoa ferruginea
802,Asarum europaeum
803,Asarum maculatum
804,Ascaridia galli
805,Ascaris lumbricoides
806,Ascaris sp.
807,Ascaris suum
808,Ascidia sp.
809,Asclepias curassavica
810,Asclepias glaucescens
811,Asclepias mexicana
812,Asclepias rotundifolia
813,Asclepias sp.
814,Asclepias speciosa
815,Asclepias syriaca
816,Ascobolus immersus
817,Ascochyta pisi
818,Ascochyta rabiei
819,Ascophyllum nodosum
820,Ascotis selenaria
821,Asimina triloba
822,Asobara tabida
823,Asparagus officinalis
824,Asparagus setaceus
825,Aspergillus aculeatus
826,Aspergillus alliaceus
827,Aspergillus amstelodami
828,Aspergillus auratus
829,Aspergillus aureolatus
830,Aspergillus aureus
831,Aspergillus awamori
832,Aspergillus batatae
833,Aspergillus brasiliensis
834,Aspergillus brevipes
835,Aspergillus caespitosus
836,Aspergillus candidus
837,Aspergillus carbonarius
838,Aspergillus carneus
839,Aspergillus cellulosae
840,Aspergillus cf.
841,Aspergillus chevalieri
842,Aspergillus citrisporus
843,Aspergillus clavatus
844,Aspergillus coreanus
845,Aspergillus ficuum
846,Aspergillus fischeri
847,Aspergillus flavipes
848,Aspergillus flavofurcatus
849,Aspergillus flavus
850,Aspergillus foetidus
851,Aspergillus fumigatus
852,Aspergillus fuscus
853,Aspergillus giganteus
854,Aspergillus glaucus
855,Aspergillus heteromorphus
856,Aspergillus inuii
857,Aspergillus itaconicus
858,Aspergillus japonicus
859,Aspergillus kawachii
860,Aspergillus luchuensis
861,Aspergillus melleus
862,Aspergillus nidulans
863,Aspergillus niger
864,Aspergillus niveus
865,Aspergillus nomius
866,Aspergillus ochraceus
867,Aspergillus oryzae
868,Aspergillus parasiticus
869,Aspergillus paxillus
870,Aspergillus phoenicis
871,Aspergillus pseudoglaucus
872,Aspergillus pulverulentus
873,Aspergillus quadricinctus
874,Aspergillus restrictus
875,Aspergillus rugulosus
876,Aspergillus saccharolyticus
877,Aspergillus sclerotiorum
878,Aspergillus sojae
879,Aspergillus sp.
880,Aspergillus spectabilis
881,Aspergillus stellatus
882,Aspergillus subolivaceus
883,Aspergillus sulphureus
884,Aspergillus sydowii
885,Aspergillus syndowi
886,Aspergillus tamarii
887,Aspergillus terreus
888,Aspergillus terricola
889,Aspergillus thermomutatus
890,Aspergillus tubingensis
891,Aspergillus unguis
892,Aspergillus usamii
893,Aspergillus ustus
894,Aspergillus vadensis
895,Aspergillus versicolor
896,Aspergillus wentii
897,Aspergillus westerdijkiae
898,Asphodelus fistulosus
899,Asplenium ceterach
900,Asplenium nidus
901,Astacus astacus
902,Astacus leptodactylus
903,Astasia ocellata
904,Astasia sp.
905,Aster sedifolius
906,Aster tataricus
907,Asterias amurensis
908,Asterias forbesi
909,Asterias rubens
910,Asterina amurensis
911,Asterionella formosa
912,Asterionella glacialis
913,Asterococcus superbus
914,Asteromonas gracilis
915,Asteromyces cruciatus
916,Asticcacaulis biprosthecium
917,Astragalus bisulcatus
918,Astragalus canadensis
919,Astragalus chrysochlorus
920,Astragalus cicer
921,Astragalus crassicarpus
922,Astragalus crotalariae
923,Astragalus glycyphyllos
924,Astragalus hamosus
925,Astragalus lentiginosus
926,Astragalus membranaceus
927,Astragalus mongholicus
928,Astragalus pectinatus
929,Astragalus racemosus
930,Astragalus sinicus
931,Astragalus tephrosioides
932,Astrosclera willeyana
933,Astyanax scabripinnis
934,Atactodea striata
935,Ateles paniscus
936,Ateles sp.
937,Athalia rosae
938,Athelia rolfsii
939,Athyrium filix-femina
940,Athyrium nipponicum
941,Athyrium yokoscense
942,Atopobium rimae
943,Atrichum undulatum
944,Atrina pectinata
945,Atrina rigida
946,Atriplex glabriuscula
947,Atriplex gmelinii
948,Atriplex halimus
949,Atriplex hortensis
950,Atriplex littoralis
951,Atriplex nummularia
952,Atriplex prostrata
953,Atriplex rosea
954,Atriplex spongiosa
955,Atropa acuminata
956,Atropa baetica
957,Atropa belladonna
958,Atropoides nummifer
959,Aulacomnium palustre
960,Aulacoseira granulata
961,Aurantiochytrium sp.
962,Aureobasidium melanogenum
963,Aureobasidium pullulans
964,Aureobasidium sp.
965,Aureococcus anophagefferens
966,Auricularia auricula-judae
967,Auricularia polytricha
968,Auricularia sp.
969,Austromegabalanus psittacus
970,Autographa californica
971,Autotrophic methanogenic
972,Auxenochlorella protothecoides
973,Auxenochlorella pyrenoidosa
974,Auxis hira
975,Avena fatua
976,Avena longiglumis
977,Avena sativa
978,Averrhoa carambola
979,Avian avulavirus
980,Avian carcinoma
981,Avian erythroblastosis
982,Avian leukosis
983,Avian myeloblastosis
984,Avian orthoreovirus
985,avian retrovirus
986,Avian sarcoma
987,Avibacterium paragallinarum
988,Avicennia marina
989,Axinella polypoides
990,Azadirachta indica
991,Azoarcus evansii
992,Azoarcus sp.
993,Azoarcus toluclasticus
994,Azoarcus tolulyticus
995,Azoarcus toluvorans
996,Azohydromonas lata
997,Azolla filiculoides
998,Azolla imbricata
999,Azolla sp.
1000,Azomonas insignis
1001,Azorhizobium caulinodans
1002,Azorhizobium sp.
1003,Azospira oryzae
1004,Azospira sp.
1005,Azospirillum brasilense
1006,Azospirillum doebereinerae
1007,Azospirillum lipoferum
1008,Azospirillum sp.
1009,Azospirillum zeae
1010,Azotobacter agilis
1011,Azotobacter beijerinckii
1012,Azotobacter chroococcum
1013,Azotobacter phage
1014,Azotobacter sp.
1015,Azotobacter vinelandii
1016,Azumapecten farreri
1017,Babesia bovis
1018,Babesia canis
1019,Babesia gibsoni
1020,Babyrousa babyrussa
1021,Bacillus acidopullulyticus
1022,Bacillus alcalophilus
1023,Bacillus altitudinis
1024,Bacillus amyloliquefaciens
1025,Bacillus anthracis
1026,Bacillus aryabhattai
1027,Bacillus atrophaeus
1028,Bacillus autolyticus
1029,Bacillus azotoformans
1030,Bacillus badius
1031,Bacillus brevis
1032,Bacillus caldolyticus
1033,Bacillus caldotenax
1034,Bacillus caldovelox
1035,Bacillus carotarum
1036,Bacillus cellulosilyticus
1037,Bacillus cellulyticus
1038,Bacillus cereus
1039,Bacillus circulans
1040,Bacillus clarkii
1041,Bacillus clausii
1042,Bacillus coagulans
1043,Bacillus cytotoxicus
1044,Bacillus deramificans
1045,Bacillus fastidiosus
1046,Bacillus firmus
1047,Bacillus flavocaldarius
1048,Bacillus fordii
1049,Bacillus fulminans
1050,Bacillus gibsonii
1051,Bacillus halmapalus
1052,Bacillus halodurans
1053,Bacillus indicus
1054,Bacillus intermedius
1055,Bacillus japonicum
1056,Bacillus lehensis
1057,Bacillus lentus
1058,Bacillus licheniformis
1059,Bacillus megaterium
1060,Bacillus methanolicus
1061,Bacillus mojavensis
1062,Bacillus mycoides
1063,Bacillus nealsonii
1064,Bacillus nematocida
1065,Bacillus niacini
1066,Bacillus niger
1067,Bacillus ohbensis
1068,Bacillus phage
1069,Bacillus proteolyticus
1070,Bacillus pseudalcaliphilus
1071,Bacillus pseudofirmus
1072,Bacillus psychrosaccharolyticus
1073,Bacillus pumilus
1074,Bacillus racemilacticus
1075,Bacillus roseus
1076,Bacillus safensis
1077,Bacillus selenatarsenatis
1078,Bacillus selenitireducens
1079,Bacillus simplex
1080,Bacillus smithii
1081,Bacillus sp.
1082,Bacillus spp.
1083,Bacillus subtilis
1084,Bacillus tequilensis
1085,Bacillus thermoalkalophilus
1086,Bacillus thermoamyloliquefaciens
